date,AEP,AMZN,CAT,JPM,XOM
2011-08-01,29.187776150333,221.32,83.654822297533,34.121889025138,65.226070539805
2011-08-02,28.624841498028,211.7,80.714611108759,33.615629544052,63.783886065558
2011-08-03,28.624841498028,209.96,79.967099789579,33.666255492161,63.68555530595
2011-08-04,27.784295236367,201.48,74.37737625838,31.99559920458,60.506194078633
2011-08-05,27.946235341825,202.7,75.573394369068,31.725594148001,61.30922861543
2011-08-08,26.504197259893,193.7,68.604927738048,28.738663209599,57.515300140564
2011-08-09,27.403042050482,205.09,72.658100224267,30.713075185831,58.703463485825
2011-08-10,26.785574759555,194.13,69.360744738552,29.00023060816,56.130475276089
2011-08-11,27.95798100815,198.36,72.46706955381,30.957767268356,59.059524037372
2011-08-12,27.950164966492,202.3,74.59332397281,30.299629942945,59.406059383777
2011-08-15,29.302340173205,202.95,75.889010259388,31.118082770699,61.295502105845
2011-08-16,29.067858923486,197.68,74.211262631896,30.400881839162,60.643685620939
2011-08-17,29.568085589553,195.93,72.790991125454,30.856515372138,61.188241165291
2011-08-18,29.122571215087,182.52,69.211242474716,29.692118565643,58.531470176183
2011-08-19,28.966250381941,178.93,66.420533549778,28.983355292124,57.59087423594
2011-08-22,28.950618298626,177.54,66.354088099185,28.190215438423,57.904406216021
2011-08-23,29.341420381491,193.55,68.920543628368,29.346174586901,60.775699086237
2011-08-24,29.86509517253,193.73,70.930518508829,30.2321286788,60.676688987264
2011-08-25,29.380500589778,192.03,69.144797024122,30.139314440601,59.216290027413
2011-08-26,29.357052464806,199.27,70.731182157048,30.552759683487,59.934113244966
2011-08-29,29.896359339159,206.53,73.21458087299,31.759344780074,61.155237798966
2011-08-30,30.052680172305,210.92,74.609935335458,31.269960615025,60.981970125764
2011-08-31,30.193368922137,215.23,75.581700050392,31.691843515929,61.072729383156
2011-09-01,29.990151839047,212.54,73.546808125958,30.62869860565,60.635434779358
2011-09-02,29.685326214412,210.0,70.913907146181,29.21960971663,59.521571165912
2011-09-06,29.802566839272,216.18,71.179688948556,28.215528412478,58.704737849386
2011-09-07,29.888543297502,219.9,73.663087664497,29.379925218974,60.767448244656
2011-09-08,29.458661006351,217.26,72.292650246001,28.274592018604,60.082628393426
2011-09-09,28.763033298851,211.39,69.734500398142,27.068006922018,58.58922606725
2011-09-12,29.013146631885,216.56,69.659749266224,27.354887294633,59.27404591848
2011-09-13,29.020962673542,219.53,70.614902618509,27.41395090076,59.11727992844
2011-09-14,29.278892048233,222.57,70.97204691545,27.67551829932,59.934113244966
2011-09-15,29.419580798064,226.78,71.927200267736,28.527721759147,61.064478541574
2011-09-16,29.325788298177,239.3,71.34580257504,28.20709075446,61.510023986953
2011-09-19,29.333604339834,241.69,70.266064002892,27.41395090076,60.808702452561
2011-09-20,29.943255589103,233.25,69.485329958415,27.211447108326,61.064478541574
